languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Sinhala,Sinhala,sin,Indic,Indo-European,7d N,7,80d30 E,80.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Marathi,Marathi,mar,Indic,Indo-European,19d N,19,76d E,76,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Konkani,Konkani,knn,Indic,Indo-European,19d15 N,19.25,73d55 E,73.9166666666667,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Domari (Modern),Domari (Modern),rmt,Indic,Indo-European,32d N,32,35d E,35,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Romani (Welsh),Romani (Welsh),rmw,Indic,Indo-European,52d N,52,4d W,-4,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Hindi,Hindi,hin,Indic,Indo-European,25d N,25,77d E,77,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Urdu,Urdu,urd,Indic,Indo-European,25d N,25,67d E,67,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Lamani,Lamani,lmn,Indic,Indo-European,17d N,17,77d E,77,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Gojri,Gojri,gju,Indic,Indo-European,32d45 N,32.75,76d15 E,76.25,Dem-Num-A-N,,,,,,,,,
Gujarati,Gujarati,guj,Indic,Indo-European,23d N,23,72d E,72,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kumauni,Kumauni,kfy,Indic,Indo-European,30d N,30,80d E,80,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Nepali,Nepali,npi,Indic,Indo-European,28d N,28,85d E,85,Dem-Num-A-N,,,,,,,,,
Kalami,Kalami,gwc,Indic,Indo-European,35d30 N,35.5,72d30 E,72.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Torwali,Torwali,trw,Indic,Indo-European,34d15 N,34.25,72d E,72,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Panjabi,Panjabi,pan,Indic,Indo-European,31d N,31,74d E,74,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Brokskat,Brokskat,bkk,Indic,Indo-European,35d20 N,35.3333333333333,76d30 E,76.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Palula,Palula,phl,Indic,Indo-European,35d30 N,35.5,71d53 E,71.8833333333333,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kashmiri,Kashmiri,kas,Indic,Indo-European,34d N,34,76d E,76,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Dameli,Dameli,dml,Indic,Indo-European,35d25 N,35.4166666666667,72d40 E,72.6666666666667,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Darai,Darai,dry,Indic,Indo-European,24d N,24,84d E,84,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bhojpuri,Bhojpuri,bho,Indic,Indo-European,26d N,26,84d E,84,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Oriya,Oriya,ory,Indic,Indo-European,21d N,21,85d E,85,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Bengali,Bengali,ben,Indic,Indo-European,24d N,24,90d E,90,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Assamese,Assamese,asm,Indic,Indo-European,26d N,26,93d E,93,Dem-A-N-Num,,,,,,,,,
Rajbanshi,Rajbanshi,rjs,Indic,Indo-European,26d23 N,26.3833333333333,88d27 E,88.45,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Halbi,Halbi,hlb,Indic,Indo-European,21d N,21,81d E,81,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Nenets,Nenets,yrk,Samoyedic,Uralic,68d N,68,53d E,53,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Selkup,Selkup,sel,Samoyedic,Uralic,65d N,65,82d E,82,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Hungarian,Hungarian,hun,Ugric,Uralic,47d N,47,20d E,20,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Khanty,Khanty,kca,Ugric,Uralic,65d N,65,65d E,65,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Mansi,Mansi,mns,Ugric,Uralic,62d N,62,62d E,62,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Udmurt,Udmurt,udm,Permic,Uralic,57d30 N,57.5,52d30 E,52.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Finnish,Finnish,fin,Finnic,Uralic,62d N,62,25d E,25,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Estonian,Estonian,ekk,Finnic,Uralic,59d N,59,26d E,26,Dem-Num-A-N,,,,,,,,,
Yukaghir (Kolyma),Yukaghir (Kolyma),yux,Yukaghir,Yukaghir,65d45 N,65.75,150d50 E,150.833333333333,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Dagur,Dagur,dta,Mongolic,Altaic,48d N,48,124d E,124,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Mangghuer,Mangghuer,mjg,Mongolic,Altaic,36d N,36,102d E,102,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Bao'an,Bao'an,peh,Mongolic,Altaic,35d35 N,35.5833333333333,102d E,102,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Santa,Santa,sce,Mongolic,Altaic,31d30 N,31.5,107d30 E,107.5,Dem-Num-A-N,,,,,,,,,
Kalmyk,Kalmyk,xal,Mongolic,Altaic,44d N,44,83d E,83,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Khalkha,Khalkha,khk,Mongolic,Altaic,47d N,47,105d E,105,Dem-Num-A-N,,,,,,,,,
Even,Even,eve,Tungusic,Altaic,68d N,68,130d E,130,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Evenki,Evenki,evn,Tungusic,Altaic,56d N,56,125d E,125,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Manchu,Manchu,mnc,Tungusic,Altaic,49d30 N,49.5,127d30 E,127.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Udihe,Udihe,ude,Tungusic,Altaic,47d40 N,47.6666666666667,136d15 E,136.25,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Chuvash,Chuvash,chv,Turkic,Altaic,55d30 N,55.5,47d30 E,47.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Khalaj,Khalaj,klj,Turkic,Altaic,35d N,35,50d E,50,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Turkish,Turkish,tur,Turkic,Altaic,39d N,39,35d E,35,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Turkmen,Turkmen,tuk,Turkic,Altaic,40d N,40,58d E,58,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Azerbaijani,Azerbaijani,azb,Turkic,Altaic,40d30 N,40.5,48d30 E,48.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Saryg Yugur,Saryg Yugur,ybe,Turkic,Altaic,40d N,40,80d E,80,Dem-Num-A-N,,,,,,,,,
Uzbek,Uzbek,uzn,Turkic,Altaic,39d N,39,66d E,66,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Bashkir,Bashkir,bak,Turkic,Altaic,53d N,53,58d E,58,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tatar,Tatar,tat,Turkic,Altaic,56d N,56,49d30 E,49.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Korean,Korean,kor,Korean,Korean,37d30 N,37.5,128d E,128,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Ainu,Ainu,ain,Ainu,Ainu,43d N,43,143d E,143,,Adj is verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Japanese,Japanese,jpn,Japanese,Japonic,37d N,37,140d E,140,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chukchi,Chukchi,ckt,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,67d N,67,173d W,-173,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nivkh,Nivkh,niv,Nivkh,Nivkh,53d20 N,53.3333333333333,142d E,142,,,,,,Adj is verb & AdjN,,,,
Ket,Ket,ket,Yeniseian,Yeniseian,64d N,64,87d E,87,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Georgian,Georgian,kat,Kartvelian,Kartvelian,42d N,42,44d E,44,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Ubykh,Ubykh,uby,Northwest Caucasian,Northwest Caucasian,43d40 N,43.6666666666667,39d40 E,39.6666666666667,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NumN
Abkhaz,Abkhaz,abk,Northwest Caucasian,Northwest Caucasian,43d05 N,43.0833333333333,41d E,41,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,
Tsova-Tush,Tsova-Tush,bbl,Nakh,Nakh-Daghestanian,42d30 N,42.5,45d30 E,45.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Chechen,Chechen,che,Nakh,Nakh-Daghestanian,43d15 N,43.25,45d50 E,45.8333333333333,Dem-A-Num-N,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Ingush,Ingush,inh,Nakh,Nakh-Daghestanian,43d10 N,43.1666666666667,45d05 E,45.0833333333333,Dem-A-Num-N,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Godoberi,Godoberi,gdo,Avar-Andic-Tsezic,Nakh-Daghestanian,42d40 N,42.6666666666667,46d05 E,46.0833333333333,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Khwarshi,Khwarshi,khv,Avar-Andic-Tsezic,Nakh-Daghestanian,42d15 N,42.25,46d E,46,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tsez,Tsez,ddo,Avar-Andic-Tsezic,Nakh-Daghestanian,42d15 N,42.25,45d45 E,45.75,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Hinuq,Hinuq,gin,Avar-Andic-Tsezic,Nakh-Daghestanian,42d25 N,42.4166666666667,45d45 E,45.75,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Hunzib,Hunzib,huz,Avar-Andic-Tsezic,Nakh-Daghestanian,42d10 N,42.1666666666667,46d15 E,46.25,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Lak,Lak,lbe,Lak-Dargwa,Nakh-Daghestanian,42d10 N,42.1666666666667,47d10 E,47.1666666666667,Dem-Num-A-N,,,,,,,,,
Dargwa,Dargwa,dar,Lak-Dargwa,Nakh-Daghestanian,42d15 N,42.25,47d25 E,47.4166666666667,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Archi,Archi,aqc,Lezgic,Nakh-Daghestanian,42d N,42,46d50 E,46.8333333333333,Dem-Num-A-N,,,,,,,,,
Khinalug,Khinalug,kjj,Lezgic,Nakh-Daghestanian,41d10 N,41.1666666666667,48d05 E,48.0833333333333,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Lezgian,Lezgian,lez,Lezgic,Nakh-Daghestanian,41d40 N,41.6666666666667,47d50 E,47.8333333333333,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tabasaran,Tabasaran,tab,Lezgic,Nakh-Daghestanian,42d N,42,48d E,48,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Rutul,Rutul,rut,Lezgic,Nakh-Daghestanian,41d30 N,41.5,47d25 E,47.4166666666667,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Tsakhur,Tsakhur,tkr,Lezgic,Nakh-Daghestanian,41d40 N,41.6666666666667,47d10 E,47.1666666666667,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Kryz,Kryz,kry,Lezgic,Nakh-Daghestanian,41d10 N,41.1666666666667,48d15 E,48.25,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Burushaski,Burushaski,bsk,Burushaski,Burushaski,36d30 N,36.5,74d30 E,74.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Brahui,Brahui,brh,Northern Dravidian,Dravidian,28d30 N,28.5,67d E,67,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,
Kurukh,Kurukh,kru,Northern Dravidian,Dravidian,22d50 N,22.8333333333333,85d30 E,85.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Malto,Malto,kmj,Northern Dravidian,Dravidian,25d N,25,87d20 E,87.3333333333333,,,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kolami,Kolami,kfb,Central Dravidian,Dravidian,20d N,20,78d30 E,78.5,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Gondi,Gondi,gno,South-Central Dravidian,Dravidian,19d N,19,81d E,81,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Kuvi,Kuvi,kxv,South-Central Dravidian,Dravidian,18d45 N,18.75,82d40 E,82.6666666666667,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Kannada,Kannada,kan,Southern Dravidian,Dravidian,14d N,14,76d E,76,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Tamil,Tamil,tam,Southern Dravidian,Dravidian,11d N,11,78d30 E,78.5,Dem-Num-A-N,,,,,,,,,
Malayalam,Malayalam,mal,Southern Dravidian,Dravidian,10d N,10,76d30 E,76.5,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Korku,Korku,kfq,Munda,Austro-Asiatic,22d30 N,22.5,78d30 E,78.5,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Santali,Santali,sat,Munda,Austro-Asiatic,24d30 N,24.5,87d E,87,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
