languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Engenni,Engenni,enn,Edoid,Niger-Congo,5d10 N,5.16666666666667,6d23 E,6.38333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Igbo,Igbo,ibo,Igboid,Niger-Congo,6d N,6,7d20 E,7.33333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ika,Ika,ikk,Igboid,Niger-Congo,6d22 N,6.36666666666667,6d17 E,6.28333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kuteb,Kuteb,kub,Jukunoid,Niger-Congo,7d10 N,7.16666666666667,10d10 E,10.1666666666667,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Jukun,Jukun,jbu,Jukunoid,Niger-Congo,6d55 N,6.91666666666667,10d25 E,10.4166666666667,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Migili,Migili,mgi,Platoid,Niger-Congo,8d30 N,8.5,8d40 E,8.66666666666667,N-Num-A-Dem,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Birom,Birom,bom,Platoid,Niger-Congo,9d40 N,9.66666666666667,8d50 E,8.83333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fyem,Fyem,pym,Platoid,Niger-Congo,9d35 N,9.58333333333333,9d20 E,9.33333333333333,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ikaan,Ikaan,kcf,Ukaan,Niger-Congo,7d35 N,7.58333333333333,6d E,6,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ogbronuagum,Ogbronuagum,ogu,Cross River,Niger-Congo,4d45 N,4.75,6d52 E,6.86666666666667,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Obolo,Obolo,ann,Cross River,Niger-Congo,4d35 N,4.58333333333333,7d50 E,7.83333333333333,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Kana,Kana,ogo,Cross River,Niger-Congo,4d45 N,4.75,7d25 E,7.41666666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,,,
Efik,Efik,efi,Cross River,Niger-Congo,4d55 N,4.91666666666667,8d30 E,8.5,A-N-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Ibibio,Ibibio,ibb,Cross River,Niger-Congo,5d15 N,5.25,7d50 E,7.83333333333333,A-N-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & AdjN & NNum
Legbo,Leggb�,agb,Cross River,Niger-Congo,6d N,6,8d E,8,N-A-Num-Dem,,,,,,,,,
Duka,Duka,dud,Kainji,Niger-Congo,11d10 N,11.1666666666667,5d05 E,5.08333333333333,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Amo,Amo,amo,Kainji,Niger-Congo,10d20 N,10.3333333333333,8d40 E,8.66666666666667,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Seme,Seme,sif,Kru,Niger-Congo,11d N,11,4d55 W,-4.91666666666667,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Akan,Akan,aka,Kwa,Niger-Congo,6d30 N,6.5,1d15 W,-1.25,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Anufo,Anufo,cko,Kwa,Niger-Congo,10d5 N,10.0833333333333,0d15 E,0.25,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Baoulé,Baoul�,bci,Kwa,Niger-Congo,7d N,7,5d W,-5,N-A-Num-Dem,,,,,,,,,
Nkonya,Nkonya,nko,Kwa,Niger-Congo,7d10 N,7.16666666666667,0d15 E,0.25,N-A-Num-Dem,,,,,,,,,
Chumburung,Chumburung,ncu,Kwa,Niger-Congo,7d45 N,7.75,0d15 E,0.25,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ebrie,Ebrie,ebr,Kwa,Niger-Congo,5d20 N,5.33333333333333,4d W,-4,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Selee,Selee,snw,Kwa,Niger-Congo,7d10 N,7.16666666666667,0d25 E,0.416666666666667,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Logba,Logba,lgq,Kwa,Niger-Congo,6d55 N,6.91666666666667,0d23 E,0.383333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Igo,Igo,ahl,Kwa,Niger-Congo,7d15 N,7.25,0d35 E,0.583333333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Tafi,Tafi,tcd,Kwa,Niger-Congo,6d48 N,6.8,0d24 E,0.4,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ewe,Ewe,ewe,Kwa,Niger-Congo,6d20 N,6.33333333333333,0d25 E,0.416666666666667,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fongbe,Fongbe,fon,Kwa,Niger-Congo,6d25 N,6.41666666666667,2d10 E,2.16666666666667,N-A-Num-Dem,,,,,,,,,
Gungbe,Gungbe,guw,Kwa,Niger-Congo,6d30 N,6.5,2d30 E,2.5,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Adioukrou,Adioukrou,adj,Kwa,Niger-Congo,5d25 N,5.41666666666667,4d35 W,-4.58333333333333,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nanerge,Nanerge,sen,Senufo,Niger-Congo,11d45 N,11.75,5d W,-5,Dem-N-A-Num,,,,,,,,,
Supyire,Supyire,spp,Senufo,Niger-Congo,11d30 N,11.5,5d35 W,-5.58333333333333,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Gbeya Bossangoa,Gbeya Bossangoa,gbp,Gbaya-Manza-Ngbaka,Niger-Congo,6d40 N,6.66666666666667,17d30 E,17.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Mbodomo,Mbodomo,gmm,Gbaya-Manza-Ngbaka,Niger-Congo,4d30 N,4.5,15d30 E,15.5,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Ngbandi,Ngbandi,ngb,Ubangi,Niger-Congo,3d45 N,3.75,22d E,22,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Sango,Sango,sag,Ubangi,Niger-Congo,5d N,5,18d E,18,A-N-Num-Dem,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Mayogo,Mayogo,mdm,Ubangi,Niger-Congo,2d50 N,2.83333333333333,27d55 E,27.9166666666667,A-N-Num-Dem,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Munzombo,Munzombo,moj,Ubangi,Niger-Congo,3d N,3,18d25 E,18.4166666666667,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Baka (in Cameroon),Baka (in Cameroon),bkc,Ubangi,Niger-Congo,2d35 N,2.58333333333333,13d35 E,13.5833333333333,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Linda,Linda,liy,Ubangi,Niger-Congo,6d30 N,6.5,20d45 E,20.75,A-N-Dem-Num,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Zande,Zande,zne,Ubangi,Niger-Congo,4d N,4,26d E,26,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NNum
Nzakara,Nzakara,nzk,Ubangi,Niger-Congo,5d N,5,23d E,23,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Barambu,Barambu,brm,Ubangi,Niger-Congo,3d30 N,3.5,27d E,27,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
