N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nyakyusa,nyy,Bantoid,Niger-Congo,9d20S,33d45E,N-Dem-Num-A,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Kikuyu,kik,Bantoid,Niger-Congo,0d45S,36d45E,,,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Digo,dig,Bantoid,Niger-Congo,4d20S,39d25E,Dem-N-Num-A,,,,,,,,,
Maore Comorian,swb,Bantoid,Niger-Congo,12dS,44d20E,N-A-Num-Dem,,,,,,,,,
Nyamwezi,nym,Bantoid,Niger-Congo,5dS,33dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Kagulu,kki,Bantoid,Niger-Congo,6d20S,37dE,,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Swahili,swh,Bantoid,Niger-Congo,6d30S,39dE,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Bena (Tanzania),bez,Bantoid,Niger-Congo,9d15S,35dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Nkore-Kiga,cgg,Bantoid,Niger-Congo,0d55S,29d50E,N-Dem-A-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Runyankore,nyn,Bantoid,Niger-Congo,0d30S,30d30E,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Haya,hay,Bantoid,Niger-Congo,2dS,31d30E,N-Num-Dem-A,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kifuliiru,flr,Bantoid,Niger-Congo,3dS,29dE,Dem-N-A-Num,,,,,,,,,
Bembe,bmb,Bantoid,Niger-Congo,4d15S,28d40E,Dem-N-Num-A,Adj is not verb & Adj further from noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ndumu,nmd,Bantoid,Niger-Congo,1d40S,13d35E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Nzadi,--,Bantoid,Niger-Congo,3d30S,19dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Luvale,luv,Bantoid,Niger-Congo,12dS,22dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Lunda,lun,Bantoid,Niger-Congo,10d40S,24dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kwangali,kwn,Bantoid,Niger-Congo,18dS,19d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tunen,tvu,Bantoid,Niger-Congo,4d45N,10d40E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Akoose,bss,Bantoid,Niger-Congo,5d05N,9d40E,Dem-N-A-Num,,,,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Bakueri,bri,Bantoid,Niger-Congo,4d15N,9d15E,Dem-N-Num-A,,,,,,,,,
Eton,eto,Bantoid,Niger-Congo,4d15N,11d25E,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Kako,kkj,Bantoid,Niger-Congo,4d25N,14d25E,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Kenyang,ken,Bantoid,Niger-Congo,5d40N,9d30E,N-A-Dem-Num,,,,,,,,,
Aghem,agq,Bantoid,Niger-Congo,6d40N,10dE,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Mmen,bfm,Bantoid,Niger-Congo,6d27N,10d12E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Babungo,bav,Bantoid,Niger-Congo,6d07N,10d25E,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mundani,mnf,Bantoid,Niger-Congo,5d40N,9d55E,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mungbam,mij,Bantoid,Niger-Congo,6d35N,10d15E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nchane,ncr,Bantoid,Niger-Congo,6d30N,10d30E,N-Dem-Num-A,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Tikar,tik,Bantoid,Niger-Congo,5d50N,11d40E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Nupe,nup,Nupoid,Niger-Congo,9d10N,5d25E,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Gwari,gbr,Nupoid,Niger-Congo,9d30N,7dE,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Yoruba,yor,Defoid,Niger-Congo,8dN,4d20E,N-A-Num-Dem,,,,,,,,,
Igede,ige,Idomoid,Niger-Congo,7dN,8d10E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Engenni,enn,Edoid,Niger-Congo,5d10N,6d23E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Igbo,ibo,Igboid,Niger-Congo,6dN,7d20E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Iká,ikk,Igboid,Niger-Congo,6d22N,6d17E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kuteb,kub,Jukunoid,Niger-Congo,7d10N,10d10E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Jukun,jbu,Jukunoid,Niger-Congo,6d55N,10d25E,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Migili,mgi,Platoid,Niger-Congo,8d30N,8d40E,N-Num-A-Dem,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Birom,bom,Platoid,Niger-Congo,9d40N,8d50E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fyem,pym,Platoid,Niger-Congo,9d35N,9d20E,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ikaan,kcf,Ukaan,Niger-Congo,7d35N,6dE,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ogbronuagum,ogu,Cross River,Niger-Congo,4d45N,6d52E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Obolo,ann,Cross River,Niger-Congo,4d35N,7d50E,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Kana,ogo,Cross River,Niger-Congo,4d45N,7d25E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,,,
Efik,efi,Cross River,Niger-Congo,4d55N,8d30E,A-N-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Ibibio,ibb,Cross River,Niger-Congo,5d15N,7d50E,A-N-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & AdjN & NNum
Leggbó,agb,Cross River,Niger-Congo,6dN,8dE,N-A-Num-Dem,,,,,,,,,
Duka,dud,Kainji,Niger-Congo,11d10N,5d05E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Amo,amo,Kainji,Niger-Congo,10d20N,8d40E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Seme,sif,Kru,Niger-Congo,11dN,4d55W,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Akan,aka,Kwa,Niger-Congo,6d30N,1d15W,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Anufo,cko,Kwa,Niger-Congo,10d5N,0d15E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Baule,tul,Kwa,Niger-Congo,7dN,5dW,N-A-Num-Dem,,,,,,,,,
Nkonya,nko,Kwa,Niger-Congo,7d10N,0d15E,N-A-Num-Dem,,,,,,,,,
Chumburung,ncu,Kwa,Niger-Congo,7d45N,0d15E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ebrie,ebr,Kwa,Niger-Congo,5d20N,4dW,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Selee,snw,Kwa,Niger-Congo,7d10N,0d25E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Logba,lgq,Kwa,Niger-Congo,6d55N,0d23E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Igo,ahl,Kwa,Niger-Congo,7d15N,0d35E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Tafi,tcd,Kwa,Niger-Congo,6d48N,0d24E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ewe,ewe,Kwa,Niger-Congo,6d20N,0d25E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fongbe,fon,Kwa,Niger-Congo,6d25N,2d10E,N-A-Num-Dem,,,,,,,,,
Gungbe,guw,Kwa,Niger-Congo,6d30N,2d30E,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Adioukrou,adj,Kwa,Niger-Congo,5d25N,4d35W,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nanerge,sen,Senufo,Niger-Congo,11d45N,5dW,Dem-N-A-Num,,,,,,,,,
Supyire,spp,Senufo,Niger-Congo,11d30N,5d35W,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Gbeya Bossangoa,gbp,Gbaya-Manza-Ngbaka,Niger-Congo,6d40N,17d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Mbodomo,gmm,Gbaya-Manza-Ngbaka,Niger-Congo,4d30N,15d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Ngbandi,ngb,Ubangi,Niger-Congo,3d45N,22dE,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Sango,sag,Ubangi,Niger-Congo,5dN,18dE,A-N-Num-Dem,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Mayogo,mdm,Ubangi,Niger-Congo,2d50N,27d55E,A-N-Num-Dem,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Munzombo,moj,Ubangi,Niger-Congo,3dN,18d25E,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Baka (in Cameroon),bkc,Ubangi,Niger-Congo,2d35N,13d35E,A-N-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Linda,liy,Ubangi,Niger-Congo,6d30N,20d45E,A-N-Dem-Num,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Zande,zne,Ubangi,Niger-Congo,4dN,26dE,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NNum
Nzakara,nzk,Ubangi,Niger-Congo,5dN,23dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Barambu,brm,Ubangi,Niger-Congo,3d30N,27dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NNum
Dongo,doo,Ubangi,Niger-Congo,3dN,30dE,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Dii,dur,Samba-Duru,Niger-Congo,8dN,14dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Samba Leko,ndi,Samba-Duru,Niger-Congo,8d30N,12d30E,N-A-Num-Dem,,,,,,,,,
Doyayo,dow,Samba-Duru,Niger-Congo,8d40N,13d05E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mumuye,mzm,Mumuye-Yandang,Niger-Congo,9dN,11d40E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mbum,mdd,Mbumic,Niger-Congo,7d45N,13d10E,N-A-Num-Dem,,,,,,,,,
Mundang,mua,Mbumic,Niger-Congo,9d40N,14d30E,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Day,dai,Day,Niger-Congo,8d45N,17d50E,N-A-Num-Dem,,,,,,,,,
Lua,nie,Bua,Niger-Congo,9d45N,17d45E,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kulango,nku,Kulango-Lorom,Niger-Congo,9dN,3dW,N-A-Num-Dem,,,,,,,,,
Koromfe,kfz,Northern-Central Gur,Niger-Congo,14d15N,0d55W,N-A-Num-Dem,,,,,,,,,
Mooré,mos,Northern-Central Gur,Niger-Congo,12d50N,1d15W,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Dagbani,dag,Northern-Central Gur,Niger-Congo,9d35N,0d30W,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ngangam,gng,Northern-Central Gur,Niger-Congo,10d10N,0d30E,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,,,
Sisaala (Western),ssl,Southern-Central Gur,Niger-Congo,10d50N,2d20W,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Chakali,cli,Southern-Central Gur,Niger-Congo,9d55N,1d55W,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ega,ega,Ega,Niger-Congo,5d30N,5d30W,N-A-Dem-Num,,,,,,,,,
Baga Sitemu,bsp,Mel,Niger-Congo,10d30N,14d30W,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
